time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2003-01-01,26.4,22.1,0.2,0.2,0.0,3.89,7.6,161,1010.7,9.5,2.0,2.32
2003-01-02,26.4,21.1,0.0,0.0,0.0,4.99,9.1,137,1011.8,17.43,0.0,3.85
2003-01-03,28.2,20.5,5.2,5.2,0.0,5.24,10.1,102,1009.4,16.75,3.0,3.77
2003-01-04,28.6,21.6,25.9,25.9,0.0,4.61,9.9,229,1006.1,17.16,17.0,3.42
2003-01-05,29.1,21.6,0.0,0.0,0.0,2.96,6.4,186,1005.7,24.24,0.0,4.88
2003-01-06,27.3,20.9,0.0,0.0,0.0,4.72,10.4,166,1008.9,27.87,0.0,5.42
2003-01-07,29.2,19.5,0.0,0.0,0.0,4.66,9.0,159,1012.3,31.15,0.0,6.28
2003-01-08,30.4,19.3,0.0,0.0,0.0,3.89,7.8,112,1012.5,27.71,0.0,5.63
2003-01-09,32.2,20.4,7.0,7.0,0.0,3.91,13.3,308,1009.9,24.01,5.0,4.97
2003-01-10,30.4,21.9,22.7,22.7,0.0,3.23,7.7,119,1010.3,18.89,15.0,3.82
2003-01-11,28.1,21.7,1.4,1.4,0.0,3.71,8.9,153,1011.7,22.51,6.0,4.34
2003-01-12,28.2,20.7,0.0,0.0,0.0,5.1,9.7,131,1013.6,28.21,0.0,5.69
2003-01-13,28.5,19.7,0.0,0.0,0.0,3.74,7.4,118,1012.6,26.68,0.0,5.44
2003-01-14,29.9,20.5,1.1,1.1,0.0,4.6,8.7,94,1012.3,27.99,2.0,5.79
2003-01-15,30.3,21.5,0.1,0.1,0.0,5.42,9.8,89,1012.8,28.41,1.0,6.12
2003-01-16,30.4,21.2,1.4,1.4,0.0,3.61,6.9,85,1011.7,26.41,1.0,5.49
2003-01-17,31.2,21.8,0.7,0.7,0.0,3.96,7.2,95,1009.1,27.84,2.0,5.74
2003-01-18,28.6,22.2,0.7,0.7,0.0,7.62,14.4,167,1011.7,24.69,4.0,5.03
2003-01-19,30.1,20.6,0.0,0.0,0.0,5.2,10.3,101,1010.4,23.94,0.0,5.26
