time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2023-01-01,34.5,20.7,0.0,0.0,5.61,82
2023-01-02,31.3,22.3,40.3,40.3,6.66,320
2023-01-03,28.7,20.3,0.4,0.4,7.0,159
2023-01-04,29.7,19.6,0.0,0.0,4.6,121
2023-01-05,29.3,19.0,0.0,0.0,5.8,132
2023-01-06,29.3,19.7,0.0,0.0,8.06,98
2023-01-07,28.6,19.8,0.0,0.0,7.47,101
2023-01-08,28.9,19.7,0.2,0.2,7.29,117
2023-01-09,29.9,19.7,0.1,0.1,6.89,105
2023-01-10,30.0,20.4,0.0,0.0,4.3,109
2023-01-11,34.3,20.4,0.0,0.0,5.98,80
2023-01-12,34.5,21.1,0.6,0.6,6.1,294
2023-01-13,31.9,22.5,10.5,10.5,4.46,213
2023-01-14,28.7,21.2,1.3,1.3,6.41,230
2023-01-15,26.5,22.3,1.6,1.6,6.15,130
2023-01-16,30.0,21.4,0.3,0.3,6.8,123
2023-01-17,31.5,21.6,0.2,0.2,7.48,116
2023-01-18,28.2,22.7,1.3,1.3,7.51,117
2023-01-19,30.4,23.2,1.1,1.1,6.91,113
2023-01-20,31.9,21.8,0.8,0.8,6.89,111
2023-01-21,35.5,21.6,0.3,0.3,5.51,316
2023-01-22,34.0,24.4,1.9,1.9,5.92,233
2023-01-23,33.6,22.9,0.6,0.6,3.81,131
2023-01-24,34.8,21.9,0.2,0.2,6.47,133
2023-01-25,33.5,23.2,0.0,0.0,6.16,129
2023-01-26,35.8,23.6,11.9,11.9,5.06,99
2023-01-27,34.3,23.1,0.0,0.0,4.3,26
2023-01-28,36.9,24.8,1.0,1.0,6.28,310
2023-01-29,30.2,23.9,2.0,2.0,6.23,167
2023-01-30,31.3,21.8,0.3,0.3,5.41,126
2023-01-31,32.8,23.1,1.0,1.0,4.43,132
2023-02-01,31.8,23.4,0.2,0.2,6.44,139
2023-02-02,32.3,22.7,1.0,1.0,7.38,121
2023-02-03,28.0,22.8,7.8,7.8,4.57,147
2023-02-04,28.8,21.3,0.3,0.3,5.04,260
2023-02-05,28.4,18.7,2.1,2.1,7.3,262
2023-02-06,29.8,21.7,0.4,0.4,4.2,144
2023-02-07,31.8,22.4,0.1,0.1,5.16,114
2023-02-08,34.0,20.3,0.0,0.0,5.9,106
2023-02-09,29.9,23.4,11.0,11.0,4.97,252
2023-02-10,33.4,22.6,0.2,0.2,6.07,107
2023-02-11,34.6,21.3,0.0,0.0,6.8,121
2023-02-12,33.6,21.1,0.0,0.0,5.63,112
2023-02-13,37.8,21.5,0.0,0.0,5.51,20
2023-02-14,35.6,23.1,20.8,20.8,6.31,333
2023-02-15,28.7,22.2,3.2,3.2,6.32,161
