time,temperature_2m,relative_humidity_2m,precipitation,rain,pressure_msl,cloud_cover,wind_speed_10m,wind_direction_10m
2010-01-01T00:00,21.1,73,0.0,0.0,1015.8,1,4.9,110
2010-01-01T01:00,20.9,74,0.0,0.0,1015.3,1,4.87,109
2010-01-01T02:00,20.8,74,0.0,0.0,1014.8,0,4.74,108
2010-01-01T03:00,20.7,74,0.0,0.0,1014.2,1,4.46,106
2010-01-01T04:00,20.6,75,0.0,0.0,1013.6,2,4.34,105
2010-01-01T05:00,20.5,75,0.0,0.0,1013.9,0,4.32,103
2010-01-01T06:00,20.7,76,0.0,0.0,1014.0,3,4.3,102
2010-01-01T07:00,21.7,75,0.0,0.0,1014.2,1,3.72,96
2010-01-01T08:00,23.2,69,0.0,0.0,1014.2,2,4.42,85
2010-01-01T09:00,24.4,65,0.0,0.0,1014.6,2,4.14,82
2010-01-01T10:00,25.8,61,0.0,0.0,1014.0,20,3.62,84
2010-01-01T11:00,27.2,56,0.0,0.0,1014.1,25,3.4,88
2010-01-01T12:00,28.5,51,0.0,0.0,1013.4,28,3.3,92
2010-01-01T13:00,29.0,49,0.0,0.0,1012.6,24,3.32,97
2010-01-01T14:00,29.7,47,0.0,0.0,1011.8,8,3.54,98
2010-01-01T15:00,29.9,47,0.0,0.0,1011.0,22,3.65,99
2010-01-01T16:00,30.0,48,0.0,0.0,1010.2,0,4.39,102
2010-01-01T17:00,28.8,54,0.0,0.0,1010.0,0,5.51,102
2010-01-01T18:00,27.3,60,0.0,0.0,1010.0,0,5.61,101
2010-01-01T19:00,25.9,64,0.0,0.0,1010.4,0,4.66,105
2010-01-01T20:00,24.6,68,0.0,0.0,1010.8,0,4.43,108
2010-01-01T21:00,23.7,71,0.0,0.0,1011.2,0,4.12,113
2010-01-01T22:00,23.0,74,0.0,0.0,1011.9,4,3.89,116
2010-01-01T23:00,22.6,76,0.0,0.0,1012.1,20,3.58,117
2010-01-02T00:00,22.1,78,0.0,0.0,1012.0,20,3.18,118
2010-01-02T01:00,21.7,81,0.0,0.0,1011.7,18,2.68,117
2010-01-02T02:00,21.3,84,0.0,0.0,1010.9,21,2.16,103
2010-01-02T03:00,20.8,87,0.0,0.0,1010.4,9,1.43,102
2010-01-02T04:00,20.1,93,0.0,0.0,1010.1,5,1.08,124
2010-01-02T05:00,19.7,95,0.0,0.0,1010.6,4,1.14,165
2010-01-02T06:00,19.7,96,0.0,0.0,1011.5,3,1.71,173
2010-01-02T07:00,22.2,85,0.0,0.0,1012.4,11,1.14,165
2010-01-02T08:00,23.9,79,0.0,0.0,1012.5,14,0.63,198
2010-01-02T09:00,25.7,73,0.0,0.0,1012.7,35,0.86,234
2010-01-02T10:00,27.1,69,0.0,0.0,1012.9,28,1.41,225
2010-01-02T11:00,28.6,65,0.0,0.0,1012.8,44,2.06,203
2010-01-02T12:00,29.7,60,0.0,0.0,1012.8,38,2.31,185
2010-01-02T13:00,30.4,55,0.0,0.0,1012.5,28,2.82,174
2010-01-02T14:00,31.0,51,0.0,0.0,1012.0,13,3.57,169
2010-01-02T15:00,31.1,48,0.0,0.0,1012.1,19,4.27,164
2010-01-02T16:00,30.0,52,0.0,0.0,1011.8,22,4.79,157
2010-01-02T17:00,29.6,54,0.0,0.0,1011.4,61,5.08,148
2010-01-02T18:00,28.6,57,0.0,0.0,1011.6,96,5.09,137
2010-01-02T19:00,27.2,62,0.0,0.0,1012.0,96,4.74,134
2010-01-02T20:00,25.9,67,0.0,0.0,1012.4,76,4.66,121
2010-01-02T21:00,24.8,73,0.0,0.0,1013.1,26,4.46,110
2010-01-02T22:00,24.0,78,0.0,0.0,1013.8,15,4.24,109
2010-01-02T23:00,23.4,82,0.0,0.0,1014.7,18,4.11,116
2010-01-03T00:00,23.0,86,0.0,0.0,1014.5,34,4.25,117
2010-01-03T01:00,22.7,88,0.0,0.0,1014.3,47,4.25,120
2010-01-03T02:00,22.5,90,0.0,0.0,1014.0,67,4.17,120
2010-01-03T03:00,22.3,90,0.0,0.0,1013.9,94,4.02,117
2010-01-03T04:00,22.2,89,0.0,0.0,1013.8,88,3.81,113
2010-01-03T05:00,22.1,89,0.0,0.0,1013.7,60,3.64,111
2010-01-03T06:00,22.1,90,0.0,0.0,1014.2,79,3.61,109
2010-01-03T07:00,23.2,84,0.0,0.0,1014.3,29,3.89,108
2010-01-03T08:00,25.3,73,0.0,0.0,1014.4,14,4.13,97
2010-01-03T09:00,27.0,67,0.0,0.0,1014.3,14,3.61,93
2010-01-03T10:00,28.6,63,0.0,0.0,1014.2,8,3.14,99
2010-01-03T11:00,30.1,58,0.0,0.0,1013.7,11,2.79,105
2010-01-03T12:00,31.5,55,0.0,0.0,1013.4,57,2.18,106
2010-01-03T13:00,32.3,52,0.0,0.0,1012.5,72,2.14,101
2010-01-03T14:00,32.9,51,0.0,0.0,1011.7,92,2.47,104
