year,temp_max_media,temp_min_media,precip_total
2000,23.65,15.06,1620.9
2001,24.64,16.56,1648.2
2002,24.74,16.36,1837.4
2003,24.26,15.49,1555.1
2004,24.35,15.33,1170.9
2005,24.82,15.92,1350.0
2006,24.53,15.68,1269.6
2007,24.14,15.56,1683.8
2008,23.69,15.23,1485.4
2009,24.04,15.31,1407.9
2010,23.93,15.52,1651.8
2011,23.53,15.2,1433.0
2012,25.49,15.97,1224.7
2013,23.8,14.89,1457.0
2014,24.79,16.26,1661.8
2015,24.49,16.56,1855.7
2016,23.79,15.32,1244.8
2017,24.85,16.55,1696.9
2018,24.23,16.06,1424.8
2019,24.77,16.42,1402.9
2020,24.66,15.66,1433.7
2021,24.27,15.71,1201.0
2022,24.06,15.22,1459.9
2023,25.09,16.49,1774.8
2024,24.73,16.68,1764.3
