time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2012-01-01,27.0,19.0,0.6,0.6,0.0,7.38,13.8,115,1010.6,23.87,4.0,5.05
2012-01-02,26.8,19.3,0.5,0.5,0.0,5.22,11.5,163,1010.3,26.29,3.0,5.37
2012-01-03,29.9,14.9,0.0,0.0,0.0,4.66,9.4,217,1010.7,29.41,0.0,6.16
2012-01-04,27.2,18.4,0.0,0.0,0.0,5.83,11.4,155,1014.2,28.21,0.0,5.89
2012-01-05,27.8,17.3,0.0,0.0,0.0,6.13,11.5,112,1013.9,24.65,0.0,5.52
2012-01-06,30.5,19.2,0.3,0.3,0.0,5.25,10.9,153,1011.1,29.07,1.0,6.32
2012-01-07,30.3,20.9,0.2,0.2,0.0,7.0,13.2,133,1014.8,23.99,2.0,5.57
2012-01-08,32.6,20.6,0.0,0.0,0.0,7.32,13.9,97,1015.2,30.99,0.0,7.22
2012-01-09,33.2,21.4,0.0,0.0,0.0,7.02,13.2,87,1014.5,28.9,0.0,7.13
2012-01-10,31.6,21.4,0.0,0.0,0.0,4.82,9.5,97,1011.8,25.78,0.0,6.21
2012-01-11,34.9,22.8,2.8,2.8,0.0,4.56,10.2,18,1009.5,26.79,2.0,6.43
2012-01-12,32.3,23.9,9.7,9.7,0.0,5.2,10.5,234,1010.3,23.73,11.0,5.56
2012-01-13,23.2,20.7,24.7,24.7,0.0,6.54,12.6,155,1010.7,3.77,24.0,0.88
2012-01-14,21.9,20.2,10.8,10.8,0.0,6.6,11.9,157,1009.9,6.71,21.0,1.49
2012-01-15,26.1,18.8,0.1,0.1,0.0,4.34,8.3,187,1012.2,24.17,1.0,4.73
2012-01-16,26.7,18.1,0.1,0.1,0.0,4.53,8.9,129,1014.2,24.31,1.0,4.85
2012-01-17,28.3,18.5,1.1,1.1,0.0,6.36,12.0,116,1013.9,25.07,8.0,5.1
2012-01-18,28.0,20.6,0.6,0.6,0.0,6.22,12.1,104,1013.4,25.77,4.0,5.32
2012-01-19,30.0,19.4,0.1,0.1,0.0,4.88,8.4,113,1011.3,28.01,1.0,5.85
2012-01-20,30.6,19.0,1.3,1.3,0.0,3.98,8.3,137,1011.0,24.44,4.0,5.02
