time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2021-01-01,28.4,18.6,0.0,0.0,5.46,133
2021-01-02,29.0,18.5,0.1,0.1,8.6,154
2021-01-03,30.5,18.6,0.0,0.0,7.82,109
2021-01-04,32.3,20.6,0.0,0.0,6.34,86
2021-01-05,29.3,22.6,12.2,12.2,3.94,48
2021-01-06,31.0,21.5,4.2,4.2,5.64,143
2021-01-07,34.1,23.1,1.3,1.3,4.93,244
2021-01-08,33.6,21.7,0.0,0.0,6.38,110
2021-01-09,35.3,20.4,0.0,0.0,8.06,85
2021-01-10,34.6,25.5,0.1,0.1,5.82,73
2021-01-11,38.9,24.8,0.1,0.1,7.0,41
2021-01-12,28.2,22.8,4.9,4.9,7.07,177
2021-01-13,26.0,22.0,0.8,0.8,6.86,126
2021-01-14,28.0,20.5,0.0,0.0,8.35,103
2021-01-15,31.7,20.6,0.9,0.9,6.63,87
2021-01-16,35.0,23.1,17.3,17.3,4.55,26
2021-01-17,29.5,22.8,15.3,15.3,6.55,241
2021-01-18,26.8,20.1,0.0,0.0,6.15,157
2021-01-19,27.9,17.7,0.0,0.0,6.66,118
2021-01-20,28.1,20.3,0.2,0.2,7.37,103
2021-01-21,27.9,20.8,1.4,1.4,6.91,105
2021-01-22,29.8,21.6,0.1,0.1,7.32,98
2021-01-23,31.5,20.8,0.1,0.1,4.44,100
2021-01-24,31.6,21.8,20.0,20.0,3.36,358
2021-01-25,31.5,20.9,0.3,0.3,3.61,30
2021-01-26,33.1,22.8,6.1,6.1,5.64,340
2021-01-27,28.1,22.9,6.1,6.1,7.25,322
2021-01-28,28.2,21.7,27.5,27.5,6.46,100
2021-01-29,29.7,21.4,12.4,12.4,6.18,331
2021-01-30,30.7,23.2,0.6,0.6,4.83,324
2021-01-31,28.7,23.6,3.1,3.1,4.54,299
2021-02-01,30.4,22.1,0.2,0.2,2.79,293
2021-02-02,32.1,24.7,1.1,1.1,2.4,68
2021-02-03,29.0,23.4,3.7,3.7,4.21,0
2021-02-04,26.6,19.9,8.3,8.3,8.77,275
2021-02-05,24.8,17.9,0.8,0.8,5.97,246
2021-02-06,26.8,18.0,0.0,0.0,3.89,228
2021-02-07,26.8,17.9,0.3,0.3,5.44,165
2021-02-08,28.4,17.5,0.0,0.0,4.81,108
2021-02-09,29.5,18.4,0.3,0.3,5.51,99
2021-02-10,30.5,20.2,0.4,0.4,5.49,94
2021-02-11,30.0,20.5,0.4,0.4,5.91,91
2021-02-12,27.3,21.3,6.4,6.4,4.53,74
2021-02-13,30.2,21.1,0.3,0.3,2.73,359
2021-02-14,27.9,21.2,12.1,12.1,5.74,312
2021-02-15,28.8,20.6,6.4,6.4,3.61,296
2021-02-16,27.8,21.0,9.5,9.5,5.24,287
2021-02-17,27.1,18.9,0.0,0.0,6.5,286
2021-02-18,27.7,19.2,1.0,1.0,4.59,274
2021-02-19,28.5,18.9,0.2,0.2,3.21,268
2021-02-20,28.7,18.4,0.0,0.0,3.94,122
2021-02-21,30.8,19.8,0.0,0.0,6.14,109
2021-02-22,34.0,20.9,0.0,0.0,4.6,8
2021-02-23,30.5,22.6,7.8,7.8,6.31,183
2021-02-24,28.2,20.7,0.5,0.5,4.98,150
2021-02-25,28.4,18.7,0.0,0.0,6.31,124
2021-02-26,30.0,19.5,0.0,0.0,7.08,106
2021-02-27,29.3,21.3,1.2,1.2,8.56,100
2021-02-28,29.1,21.9,0.8,0.8,9.15,103
2021-03-01,29.7,21.6,8.2,8.2,5.4,95
2021-03-02,30.7,21.7,1.6,1.6,3.75,100
2021-03-03,30.5,23.4,0.7,0.7,4.5,148
2021-03-04,27.1,22.7,14.8,14.8,3.64,136
2021-03-05,26.4,21.6,25.3,25.3,3.52,242
2021-03-06,26.7,19.2,0.2,0.2,5.17,197
2021-03-07,26.8,18.6,0.0,0.0,4.32,117
2021-03-08,28.9,19.2,0.0,0.0,5.49,156
2021-03-09,24.2,20.3,4.3,4.3,5.16,148
2021-03-10,25.1,18.7,3.0,3.0,4.84,172
2021-03-11,26.3,17.6,0.7,0.7,3.7,186
2021-03-12,28.0,18.2,0.0,0.0,4.5,88
2021-03-13,29.3,18.4,0.0,0.0,4.4,113
2021-03-14,28.4,20.1,0.1,0.1,6.85,144
2021-03-15,27.6,21.1,0.2,0.2,5.97,135
2021-03-16,32.1,21.3,0.0,0.0,3.83,98
2021-03-17,29.3,23.3,5.8,5.8,5.64,295
2021-03-18,24.9,19.3,0.3,0.3,4.03,192
2021-03-19,27.7,19.7,0.2,0.2,5.92,103
2021-03-20,31.2,20.1,0.0,0.0,3.94,79
2021-03-21,25.8,23.1,10.3,10.3,5.48,296
2021-03-22,26.2,21.8,1.6,1.6,5.92,140
2021-03-23,23.9,21.7,16.8,16.8,5.3,140
2021-03-24,25.7,20.7,2.4,2.4,4.55,122
2021-03-25,30.5,20.0,0.0,0.0,4.27,103
2021-03-26,27.3,22.3,13.0,13.0,4.8,344
2021-03-27,25.8,21.4,6.1,6.1,5.46,296
2021-03-28,26.9,20.8,9.4,9.4,4.85,291
2021-03-29,24.2,19.7,0.2,0.2,6.05,279
2021-03-30,23.1,17.4,12.1,12.1,5.71,239
2021-03-31,23.9,17.1,0.3,0.3,5.47,188
2021-04-01,23.2,17.3,1.6,1.6,4.62,156
2021-04-02,23.9,16.6,1.0,1.0,5.1,114
2021-04-03,26.1,18.2,0.0,0.0,5.15,111
2021-04-04,27.8,17.2,0.0,0.0,6.4,89
2021-04-05,28.3,18.2,0.0,0.0,4.49,98
2021-04-06,27.6,19.9,0.0,0.0,4.39,111
2021-04-07,28.4,17.8,0.0,0.0,6.81,84
2021-04-08,29.5,18.7,0.0,0.0,4.04,67
2021-04-09,33.0,20.2,0.0,0.0,3.76,354
2021-04-10,34.0,22.0,0.0,0.0,4.91,339
2021-04-11,33.8,20.9,1.7,1.7,9.06,303
2021-04-12,24.8,16.0,0.0,0.0,4.38,220
2021-04-13,25.5,17.5,2.4,2.4,5.78,136
2021-04-14,26.8,17.3,0.0,0.0,5.22,96
2021-04-15,26.8,16.5,0.3,0.3,3.36,46
2021-04-16,27.5,18.6,3.5,3.5,3.54,296
2021-04-17,24.9,20.2,1.5,1.5,4.91,159
2021-04-18,24.3,20.1,4.6,4.6,7.12,139
2021-04-19,24.8,18.0,0.1,0.1,6.12,131
2021-04-20,26.0,17.6,0.0,0.0,5.7,111
2021-04-21,25.2,18.3,0.6,0.6,7.81,95
2021-04-22,26.0,18.3,0.0,0.0,6.05,95
2021-04-23,27.4,15.3,0.0,0.0,5.23,84
2021-04-24,27.7,15.1,0.9,0.9,4.06,303
2021-04-25,22.9,16.8,15.3,15.3,4.36,253
2021-04-26,21.7,14.1,0.5,0.5,3.89,280
2021-04-27,21.5,12.5,0.0,0.0,3.31,246
