time,temperature_2m,relative_humidity_2m,precipitation,rain,pressure_msl,cloud_cover,wind_speed_10m,wind_direction_10m
2008-01-01T00:00,23.0,94,0.0,0.0,1012.3,28,2.08,125
2008-01-01T01:00,22.5,96,0.0,0.0,1011.8,30,2.11,121
2008-01-01T02:00,22.1,96,0.0,0.0,1011.3,19,2.01,117
2008-01-01T03:00,21.7,98,0.0,0.0,1011.2,18,2.1,115
2008-01-01T04:00,21.5,99,0.0,0.0,1011.2,81,2.33,121
2008-01-01T05:00,21.5,100,0.0,0.0,1011.7,100,2.44,125
2008-01-01T06:00,21.5,99,0.0,0.0,1012.1,100,3.0,120
2008-01-01T07:00,21.8,98,0.0,0.0,1012.5,91,3.48,108
2008-01-01T08:00,22.7,92,0.0,0.0,1012.9,71,3.04,99
2008-01-01T09:00,24.7,82,0.0,0.0,1013.3,72,2.6,92
2008-01-01T10:00,26.3,75,0.0,0.0,1013.5,39,2.1,87
2008-01-01T11:00,27.6,70,0.0,0.0,1013.0,13,1.92,99
2008-01-01T12:00,29.1,63,0.0,0.0,1012.5,8,1.88,115
2008-01-01T13:00,30.2,58,0.0,0.0,1012.0,1,2.22,126
2008-01-01T14:00,30.9,55,0.0,0.0,1011.3,0,2.98,130
2008-01-01T15:00,30.9,54,0.0,0.0,1010.8,0,3.86,127
2008-01-01T16:00,30.6,56,0.0,0.0,1010.3,0,4.8,121
2008-01-01T17:00,29.8,60,0.0,0.0,1010.1,0,5.13,111
2008-01-01T18:00,28.5,66,0.0,0.0,1010.0,0,4.56,116
2008-01-01T19:00,26.8,72,0.0,0.0,1010.0,4,4.05,123
2008-01-01T20:00,25.0,79,0.0,0.0,1010.8,0,4.3,121
2008-01-01T21:00,23.8,84,0.0,0.0,1011.5,1,4.22,121
2008-01-01T22:00,23.0,89,0.0,0.0,1012.0,0,4.05,123
2008-01-01T23:00,22.6,91,0.0,0.0,1012.2,1,4.08,121
2008-01-02T00:00,22.3,93,0.0,0.0,1011.9,2,3.94,117
2008-01-02T01:00,22.2,94,0.0,0.0,1011.5,1,3.58,113
2008-01-02T02:00,22.1,94,0.0,0.0,1011.0,1,3.29,110
2008-01-02T03:00,22.0,95,0.0,0.0,1011.0,1,2.98,104
2008-01-02T04:00,21.8,96,0.0,0.0,1010.9,5,2.61,94
2008-01-02T05:00,21.8,96,0.0,0.0,1011.2,9,2.31,85
2008-01-02T06:00,21.7,96,0.0,0.0,1011.6,10,2.33,80
2008-01-02T07:00,23.1,91,0.0,0.0,1011.7,7,2.0,87
2008-01-02T08:00,25.0,83,0.0,0.0,1012.3,6,1.6,94
2008-01-02T09:00,26.6,76,0.0,0.0,1012.2,7,1.43,102
2008-01-02T10:00,28.2,71,0.0,0.0,1012.1,6,1.55,105
2008-01-02T11:00,29.2,68,0.0,0.0,1012.0,11,1.55,105
2008-01-02T12:00,30.1,68,0.0,0.0,1011.3,8,1.8,124
2008-01-02T13:00,30.9,67,0.0,0.0,1010.8,4,2.78,128
2008-01-02T14:00,31.2,67,0.0,0.0,1010.0,24,4.02,117
2008-01-02T15:00,28.2,71,1.9,1.9,1010.6,47,4.47,80
2008-01-02T16:00,29.0,68,0.0,0.0,1009.3,27,3.9,89
2008-01-02T17:00,29.2,67,0.0,0.0,1009.4,21,4.0,91
2008-01-02T18:00,28.5,69,0.0,0.0,1009.0,16,4.02,96
2008-01-02T19:00,27.4,74,0.0,0.0,1009.1,11,3.7,109
2008-01-02T20:00,26.0,79,0.0,0.0,1008.9,6,3.98,108
2008-01-02T21:00,25.0,85,0.0,0.0,1009.4,2,3.79,108
2008-01-02T22:00,24.3,89,0.0,0.0,1010.0,1,3.23,112
2008-01-02T23:00,23.9,91,0.0,0.0,1010.4,1,2.95,114
2008-01-03T00:00,23.5,94,0.0,0.0,1010.2,1,2.66,110
2008-01-03T01:00,23.2,95,0.0,0.0,1009.6,1,2.31,108
2008-01-03T02:00,22.8,96,0.0,0.0,1009.3,2,1.9,108
2008-01-03T03:00,22.5,97,0.0,0.0,1009.4,8,1.43,102
2008-01-03T04:00,22.2,98,0.0,0.0,1009.7,17,1.5,94
2008-01-03T05:00,21.9,99,0.0,0.0,1009.9,27,1.1,85
2008-01-03T06:00,21.9,99,0.0,0.0,1010.5,39,1.7,62
2008-01-03T07:00,23.7,92,0.0,0.0,1010.7,15,1.5,53
2008-01-03T08:00,25.7,83,0.0,0.0,1010.8,0,1.84,22
2008-01-03T09:00,27.5,73,0.0,0.0,1011.1,2,2.47,346
2008-01-03T10:00,28.9,68,0.0,0.0,1011.2,18,3.12,320
2008-01-03T11:00,29.9,67,0.0,0.0,1011.1,59,3.41,302
2008-01-03T12:00,30.7,67,0.0,0.0,1010.7,28,3.26,297
2008-01-03T13:00,31.4,66,0.0,0.0,1009.8,13,3.18,294
2008-01-03T14:00,31.8,65,0.0,0.0,1009.1,5,2.72,287
2008-01-03T15:00,32.2,62,0.0,0.0,1008.0,8,1.71,277
2008-01-03T16:00,32.7,56,0.0,0.0,1007.8,54,1.46,254
2008-01-03T17:00,32.6,56,0.0,0.0,1007.8,96,1.41,225
2008-01-03T18:00,31.8,59,0.1,0.1,1008.3,100,1.92,231
2008-01-03T19:00,29.1,72,0.4,0.4,1010.0,100,3.3,268
2008-01-03T20:00,26.4,85,1.6,1.6,1011.1,100,2.72,276
2008-01-03T21:00,25.8,88,0.0,0.0,1011.0,100,2.55,334
2008-01-03T22:00,25.4,90,0.1,0.1,1011.4,99,3.05,328
2008-01-03T23:00,24.9,90,0.5,0.5,1011.8,99,3.04,316
2008-01-04T00:00,24.5,91,0.2,0.2,1011.6,99,2.83,302
2008-01-04T01:00,24.2,92,0.0,0.0,1011.4,99,2.72,287
2008-01-04T02:00,23.9,93,0.0,0.0,1011.0,55,2.91,274
2008-01-04T03:00,23.6,95,0.0,0.0,1010.9,57,3.04,261
2008-01-04T04:00,23.4,96,0.0,0.0,1011.1,41,2.65,259
2008-01-04T05:00,23.3,97,0.0,0.0,1011.6,32,2.14,259
2008-01-04T06:00,23.2,97,0.0,0.0,1012.2,27,1.84,248
2008-01-04T07:00,24.1,92,0.0,0.0,1013.2,39,2.28,209
2008-01-04T08:00,25.2,84,0.0,0.0,1013.3,44,2.83,188
2008-01-04T09:00,26.1,77,0.0,0.0,1013.9,55,3.01,186
2008-01-04T10:00,27.1,71,0.0,0.0,1014.4,74,3.3,182
2008-01-04T11:00,28.2,66,0.0,0.0,1014.3,73,3.71,175
2008-01-04T12:00,28.8,63,0.0,0.0,1014.3,47,4.01,176
2008-01-04T13:00,29.2,60,0.0,0.0,1014.4,58,4.32,175
2008-01-04T14:00,29.3,59,0.0,0.0,1014.0,31,4.84,173
2008-01-04T15:00,28.9,61,0.0,0.0,1013.9,19,5.46,172
2008-01-04T16:00,28.4,63,0.0,0.0,1013.3,20,6.02,169
2008-01-04T17:00,27.8,66,0.0,0.0,1013.0,8,6.02,165
2008-01-04T18:00,26.9,70,0.0,0.0,1013.2,5,5.95,163
2008-01-04T19:00,25.9,75,0.0,0.0,1013.9,5,4.57,157
2008-01-04T20:00,25.0,80,0.0,0.0,1014.3,17,3.89,151
2008-01-04T21:00,24.3,83,0.2,0.2,1015.0,23,3.14,149
2008-01-04T22:00,24.0,86,0.0,0.0,1015.5,25,2.42,150
2008-01-04T23:00,23.5,88,0.2,0.2,1015.5,27,2.12,161
2008-01-05T00:00,23.2,90,0.1,0.1,1015.1,35,2.11,175
2008-01-05T01:00,22.8,92,0.1,0.1,1014.3,97,2.4,180
2008-01-05T02:00,22.7,93,0.0,0.0,1013.8,33,2.61,184
2008-01-05T03:00,22.3,93,0.1,0.1,1013.7,44,2.81,184
2008-01-05T04:00,22.2,93,0.2,0.2,1013.4,64,3.0,182
2008-01-05T05:00,22.1,93,0.2,0.2,1014.0,88,3.01,186
2008-01-05T06:00,22.1,93,0.1,0.1,1014.3,99,3.1,178
2008-01-05T07:00,22.4,92,0.0,0.0,1015.1,96,3.01,174
2008-01-05T08:00,23.1,90,0.0,0.0,1015.3,76,2.75,170
2008-01-05T09:00,23.8,87,0.0,0.0,1015.6,59,2.89,166
2008-01-05T10:00,25.2,83,0.0,0.0,1015.6,61,2.69,165
2008-01-05T11:00,26.3,79,0.0,0.0,1015.1,77,2.66,160
2008-01-05T12:00,27.2,76,0.0,0.0,1014.7,93,2.72,163
2008-01-05T13:00,27.8,73,0.0,0.0,1014.0,87,3.1,165
2008-01-05T14:00,27.8,71,0.0,0.0,1013.5,64,3.3,166
2008-01-05T15:00,28.2,68,0.0,0.0,1013.0,38,3.45,163
2008-01-05T16:00,26.9,68,0.5,0.5,1012.6,49,4.3,162
2008-01-05T17:00,26.1,70,0.2,0.2,1012.6,52,4.83,153
2008-01-05T18:00,25.2,75,0.0,0.0,1012.4,39,4.69,140
2008-01-05T19:00,24.4,79,0.0,0.0,1012.5,24,4.55,123
2008-01-05T20:00,23.4,84,0.0,0.0,1013.0,30,4.25,120
2008-01-05T21:00,22.5,87,0.2,0.2,1013.4,32,4.11,116
2008-01-05T22:00,22.2,87,0.0,0.0,1014.0,38,4.12,113
2008-01-05T23:00,21.9,88,0.0,0.0,1014.3,36,3.77,112
2008-01-06T00:00,21.5,90,0.0,0.0,1014.2,46,3.48,108
2008-01-06T01:00,21.5,90,0.0,0.0,1013.4,34,2.88,110
2008-01-06T02:00,21.2,91,0.0,0.0,1013.3,25,2.46,117
2008-01-06T03:00,20.9,93,0.0,0.0,1013.4,23,2.33,121
2008-01-06T04:00,20.9,93,0.0,0.0,1013.2,21,2.47,122
2008-01-06T05:00,21.0,93,0.0,0.0,1013.6,30,2.47,122
2008-01-06T06:00,20.9,93,0.0,0.0,1014.0,33,2.56,121
2008-01-06T07:00,21.9,88,0.0,0.0,1013.8,38,2.83,122
2008-01-06T08:00,22.9,83,0.0,0.0,1014.5,36,3.22,116
2008-01-06T09:00,23.9,80,0.0,0.0,1014.6,58,3.55,112
2008-01-06T10:00,24.7,77,0.0,0.0,1014.4,46,3.4,118
2008-01-06T11:00,25.4,75,0.1,0.1,1014.3,25,3.74,124
2008-01-06T12:00,26.2,70,0.0,0.0,1013.8,27,4.48,129
2008-01-06T13:00,26.5,66,0.1,0.1,1013.4,23,4.97,130
2008-01-06T14:00,26.6,63,0.1,0.1,1013.0,33,5.25,130
2008-01-06T15:00,26.3,61,0.0,0.0,1012.8,27,5.33,130
2008-01-06T16:00,26.3,58,0.0,0.0,1012.4,25,5.44,126
2008-01-06T17:00,25.7,60,0.0,0.0,1012.1,22,5.37,119
2008-01-06T18:00,24.9,61,0.0,0.0,1012.2,18,5.2,113
2008-01-06T19:00,23.7,64,0.0,0.0,1011.9,9,4.3,108
2008-01-06T20:00,22.5,67,0.0,0.0,1012.5,2,4.28,101
2008-01-06T21:00,21.7,70,0.0,0.0,1013.2,1,4.14,98
2008-01-06T22:00,21.0,73,0.0,0.0,1013.8,1,3.82,96
2008-01-06T23:00,20.5,75,0.0,0.0,1013.9,1,3.45,100
2008-01-07T00:00,19.9,78,0.0,0.0,1013.5,1,3.04,107
2008-01-07T01:00,19.5,80,0.0,0.0,1012.8,1,2.97,110
2008-01-07T02:00,19.2,83,0.0,0.0,1012.3,7,2.73,114
2008-01-07T03:00,18.9,85,0.0,0.0,1012.0,4,2.39,123
2008-01-07T04:00,18.1,90,0.0,0.0,1012.0,1,2.22,126
2008-01-07T05:00,17.7,92,0.0,0.0,1012.2,2,2.02,123
2008-01-07T06:00,17.6,93,0.0,0.0,1012.6,8,2.28,113
2008-01-07T07:00,19.7,86,0.0,0.0,1013.1,48,2.18,106
2008-01-07T08:00,21.8,77,0.0,0.0,1012.7,62,2.14,101
2008-01-07T09:00,23.3,72,0.0,0.0,1013.2,74,1.75,103
2008-01-07T10:00,24.6,69,0.0,0.0,1013.0,86,1.34,117
2008-01-07T11:00,26.2,64,0.1,0.1,1012.3,29,0.86,126
2008-01-07T12:00,27.5,58,0.0,0.0,1011.7,42,0.54,248
2008-01-07T13:00,28.2,55,0.0,0.0,1010.9,46,0.5,217
2008-01-07T14:00,28.4,54,0.0,0.0,1010.4,25,0.45,153
2008-01-07T15:00,28.8,51,0.0,0.0,1009.8,29,0.81,120
2008-01-07T16:00,28.9,51,0.0,0.0,1009.1,37,1.26,108
2008-01-07T17:00,28.7,52,0.0,0.0,1009.0,31,2.06,104
2008-01-07T18:00,27.8,56,0.0,0.0,1009.0,8,3.16,101
2008-01-07T19:00,26.2,65,0.0,0.0,1009.0,2,4.23,97
2008-01-07T20:00,24.5,72,0.0,0.0,1009.3,0,4.4,91
2008-01-07T21:00,23.4,77,0.0,0.0,1009.8,0,3.6,90
2008-01-07T22:00,22.7,80,0.0,0.0,1010.0,0,2.82,96
2008-01-07T23:00,22.0,84,0.0,0.0,1010.3,0,2.06,104
2008-01-08T00:00,21.4,88,0.0,0.0,1010.0,0,1.77,106
2008-01-08T01:00,20.7,92,0.0,0.0,1009.3,0,1.46,106
2008-01-08T02:00,19.7,95,0.0,0.0,1008.9,0,1.71,111
2008-01-08T03:00,19.6,95,0.0,0.0,1008.6,0,1.58,125
2008-01-08T04:00,20.4,96,0.0,0.0,1008.7,74,1.14,142
2008-01-08T05:00,20.1,98,0.0,0.0,1009.2,75,0.81,150
2008-01-08T06:00,19.8,99,0.0,0.0,1009.7,76,0.32,108
2008-01-08T07:00,20.5,96,0.0,0.0,1010.1,68,0.5,37
2008-01-08T08:00,22.8,86,0.0,0.0,1010.2,59,0.72,326
2008-01-08T09:00,24.8,78,0.0,0.0,1010.5,11,0.78,310
2008-01-08T10:00,26.7,69,0.0,0.0,1010.3,4,0.95,288
2008-01-08T11:00,28.4,56,0.0,0.0,1010.1,8,1.1,265
2008-01-08T12:00,29.7,47,0.0,0.0,1009.5,4,1.43,245
2008-01-08T13:00,30.6,43,0.0,0.0,1009.0,0,1.64,232
2008-01-08T14:00,31.2,39,0.0,0.0,1008.8,0,1.7,220
2008-01-08T15:00,31.5,37,0.0,0.0,1008.3,0,1.9,198
2008-01-08T16:00,31.6,37,0.0,0.0,1007.5,2,1.71,173
2008-01-08T17:00,31.4,36,0.0,0.0,1007.3,5,1.92,152
2008-01-08T18:00,30.6,38,0.0,0.0,1007.1,3,2.19,137
2008-01-08T19:00,28.7,44,0.0,0.0,1007.1,1,2.28,128
2008-01-08T20:00,26.6,51,0.0,0.0,1007.5,1,2.33,121
2008-01-08T21:00,25.2,61,0.0,0.0,1008.1,6,2.38,105
2008-01-08T22:00,24.0,72,0.0,0.0,1008.4,42,2.21,95
2008-01-08T23:00,23.1,81,0.0,0.0,1008.8,31,1.8,90
2008-01-09T00:00,22.1,87,0.0,0.0,1008.4,0,1.9,90
2008-01-09T01:00,21.1,92,0.0,0.0,1007.9,0,1.8,93
2008-01-09T02:00,20.2,95,0.0,0.0,1007.3,0,2.0,93
2008-01-09T03:00,19.8,95,0.0,0.0,1007.3,0,1.84,103
2008-01-09T04:00,19.5,98,0.0,0.0,1007.5,0,1.84,103
2008-01-09T05:00,19.5,99,0.0,0.0,1008.0,75,1.6,90
2008-01-09T06:00,18.4,99,0.0,0.0,1008.3,76,0.95,72
2008-01-09T07:00,20.8,94,0.0,0.0,1008.2,62,1.39,60
2008-01-09T08:00,23.2,84,0.0,0.0,1008.5,4,1.08,34
2008-01-09T09:00,26.0,70,0.0,0.0,1008.8,0,1.02,349
2008-01-09T10:00,28.2,59,0.0,0.0,1008.3,0,1.13,315
2008-01-09T11:00,29.8,51,0.0,0.0,1008.2,0,1.04,287
2008-01-09T12:00,31.0,46,0.0,0.0,1007.6,0,0.81,277
2008-01-09T13:00,31.8,44,0.0,0.0,1007.1,0,0.32,252
2008-01-09T14:00,32.4,42,0.0,0.0,1006.3,7,0.4,180
2008-01-09T15:00,32.8,40,0.0,0.0,1005.5,11,0.92,131
2008-01-09T16:00,32.7,41,0.0,0.0,1005.0,21,1.34,117
2008-01-09T17:00,32.2,42,0.0,0.0,1004.5,18,1.96,105
2008-01-09T18:00,31.4,46,0.0,0.0,1004.8,24,2.55,101
2008-01-09T19:00,29.7,54,0.0,0.0,1004.6,17,2.82,107
2008-01-09T20:00,27.7,64,0.0,0.0,1005.3,25,3.45,100
2008-01-09T21:00,26.2,73,0.0,0.0,1005.7,18,3.6,92
2008-01-09T22:00,25.2,79,0.0,0.0,1005.9,15,2.9,90
2008-01-09T23:00,24.3,85,0.0,0.0,1006.1,14,2.41,95
2008-01-10T00:00,23.6,89,0.0,0.0,1005.7,18,2.22,98
2008-01-10T01:00,23.0,93,0.0,0.0,1005.0,11,2.06,104
2008-01-10T02:00,22.3,96,0.0,0.0,1004.7,2,1.87,106
2008-01-10T03:00,21.8,97,0.0,0.0,1004.5,1,1.51,98
2008-01-10T04:00,21.4,99,0.0,0.0,1004.5,1,1.2,85
2008-01-10T05:00,21.0,99,0.0,0.0,1004.8,4,1.39,69
2008-01-10T06:00,20.7,99,0.0,0.0,1005.0,4,1.77,47
2008-01-10T07:00,22.7,88,0.0,0.0,1006.0,0,1.58,18
2008-01-10T08:00,25.1,74,0.0,0.0,1005.7,0,2.21,355
2008-01-10T09:00,27.4,64,0.0,0.0,1006.0,0,2.79,339
2008-01-10T10:00,29.4,59,0.0,0.0,1005.6,0,2.73,332
2008-01-10T11:00,31.2,53,0.0,0.0,1005.5,0,2.78,330
2008-01-10T12:00,32.7,47,0.0,0.0,1004.8,0,2.62,320
2008-01-10T13:00,33.4,44,0.0,0.0,1004.3,13,2.44,305
2008-01-10T14:00,33.9,42,0.0,0.0,1004.0,16,2.02,303
2008-01-10T15:00,34.2,42,0.0,0.0,1003.2,19,1.56,310
2008-01-10T16:00,34.4,38,0.0,0.0,1002.9,18,1.36,324
2008-01-10T17:00,34.1,38,0.0,0.0,1002.6,19,1.1,5
2008-01-10T18:00,33.2,42,0.0,0.0,1002.7,42,1.84,61
2008-01-10T19:00,31.4,50,0.0,0.0,1003.0,32,2.42,83
2008-01-10T20:00,29.4,59,0.0,0.0,1003.1,16,3.32,83
2008-01-10T21:00,28.2,67,0.0,0.0,1003.7,17,3.1,75
2008-01-10T22:00,27.3,72,0.0,0.0,1004.2,10,2.75,71
2008-01-10T23:00,26.5,76,0.0,0.0,1004.1,9,2.51,61
2008-01-11T00:00,26.0,79,0.0,0.0,1004.1,10,1.94,55
2008-01-11T01:00,25.4,82,0.0,0.0,1003.6,8,1.78,52
2008-01-11T02:00,24.5,88,0.0,0.0,1003.2,25,1.77,47
2008-01-11T03:00,23.7,91,0.0,0.0,1003.2,20,1.63,43
2008-01-11T04:00,23.5,91,0.0,0.0,1003.3,12,1.62,22
2008-01-11T05:00,22.7,93,0.0,0.0,1003.3,46,1.4,4
2008-01-11T06:00,22.9,91,0.0,0.0,1004.4,59,1.75,336
2008-01-11T07:00,25.6,79,0.0,0.0,1005.8,85,2.96,282
2008-01-11T08:00,28.0,67,0.0,0.0,1007.6,99,3.3,284
2008-01-11T09:00,29.3,63,0.0,0.0,1008.4,99,3.61,273
2008-01-11T10:00,28.1,70,1.1,1.1,1008.6,99,4.2,273
2008-01-11T11:00,27.7,72,0.7,0.7,1009.5,96,4.2,270
2008-01-11T12:00,28.0,72,0.1,0.1,1009.3,99,4.18,249
2008-01-11T13:00,27.6,74,4.7,4.7,1009.0,99,3.8,243
2008-01-11T14:00,25.3,82,13.4,13.4,1008.9,99,4.22,234
2008-01-11T15:00,24.6,87,1.1,1.1,1009.1,100,5.16,216
2008-01-11T16:00,24.8,80,1.2,1.2,1009.3,100,5.87,194
2008-01-11T17:00,24.1,84,0.5,0.5,1009.4,100,6.6,181
2008-01-11T18:00,23.3,84,0.1,0.1,1009.9,100,6.73,175
2008-01-11T19:00,22.7,82,0.0,0.0,1010.8,99,6.28,166
2008-01-11T20:00,22.3,80,0.0,0.0,1012.5,100,5.54,163
2008-01-11T21:00,22.0,78,0.0,0.0,1013.4,99,5.13,159
2008-01-11T22:00,21.7,77,0.0,0.0,1014.0,97,4.75,158
2008-01-11T23:00,21.6,75,0.0,0.0,1014.9,90,4.47,153
2008-01-12T00:00,21.4,73,0.0,0.0,1015.0,90,4.08,149
2008-01-12T01:00,21.2,73,0.0,0.0,1014.8,71,3.76,140
2008-01-12T02:00,21.0,72,0.0,0.0,1014.2,67,3.75,136
2008-01-12T03:00,21.0,69,0.0,0.0,1014.5,53,3.68,133
2008-01-12T04:00,20.6,73,0.0,0.0,1014.4,75,3.62,129
2008-01-12T05:00,20.5,72,0.0,0.0,1014.9,33,3.48,129
2008-01-12T06:00,20.4,73,0.0,0.0,1015.4,22,3.56,128
2008-01-12T07:00,20.8,73,0.0,0.0,1016.5,29,4.0,127
2008-01-12T08:00,22.0,62,0.0,0.0,1016.6,34,5.08,122
2008-01-12T09:00,22.8,59,0.0,0.0,1017.4,58,5.19,118
2008-01-12T10:00,23.4,56,0.0,0.0,1017.1,59,4.83,114
2008-01-12T11:00,24.6,52,0.0,0.0,1017.3,64,4.39,114
2008-01-12T12:00,25.2,49,0.0,0.0,1017.2,54,4.07,118
2008-01-12T13:00,25.8,48,0.0,0.0,1016.8,67,4.17,120
2008-01-12T14:00,26.1,47,0.0,0.0,1016.6,73,4.49,122
2008-01-12T15:00,26.2,46,0.0,0.0,1016.3,91,4.79,119
2008-01-12T16:00,25.7,47,0.0,0.0,1016.2,85,4.98,112
2008-01-12T17:00,25.0,49,0.0,0.0,1016.1,92,5.48,105
2008-01-12T18:00,24.0,54,0.0,0.0,1016.0,23,5.69,100
