time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,vapour_pressure_deficit,et0_fao_evapotranspiration,shortwave_radiation,weather_code,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
2018-01-01 00:00:00,21.7,94,20.7,0.0,0.0,0.0,1007.4,1005.7,7,2.11,121,5.9,0.15,0.0,0.0,0,25.6,27.3,0.312,0.299
2018-01-01 01:00:00,21.5,95,20.6,0.0,0.0,0.0,1006.9,1005.2,11,1.7,135,3.7,0.14,0.0,0.0,0,25.0,27.1,0.312,0.299
2018-01-01 02:00:00,21.2,95,20.4,0.0,0.0,0.0,1006.4,1004.6,6,1.17,121,3.0,0.12,0.0,0.0,0,24.5,26.9,0.312,0.299
2018-01-01 03:00:00,21.4,94,20.5,0.0,0.0,0.0,1005.6,1003.9,16,1.3,94,2.4,0.14,0.0,0.0,0,24.2,26.7,0.312,0.299
2018-01-01 04:00:00,21.0,95,20.2,0.0,0.0,0.0,1005.4,1003.7,18,1.3,113,2.3,0.11,0.0,0.0,0,23.9,26.5,0.312,0.299
2018-01-01 05:00:00,21.0,95,20.2,0.0,0.0,0.0,1005.7,1003.9,26,1.2,132,1.8,0.12,0.0,0.0,1,23.6,26.3,0.312,0.299
2018-01-01 06:00:00,21.9,90,20.3,0.0,0.0,0.0,1006.0,1004.3,67,1.3,94,2.0,0.25,0.02,11.0,2,23.5,26.1,0.312,0.299
2018-01-01 07:00:00,23.1,84,20.2,0.0,0.0,0.0,1006.4,1004.7,45,0.92,49,2.8,0.46,0.06,87.0,1,24.0,25.9,0.311,0.299
2018-01-01 08:00:00,25.0,75,20.3,0.0,0.0,0.0,1006.9,1005.2,5,0.76,23,3.2,0.79,0.19,288.0,0,25.2,25.8,0.311,0.299
2018-01-01 09:00:00,24.7,80,21.0,0.0,0.0,0.0,1008.1,1006.4,13,2.55,169,4.7,0.63,0.35,556.0,0,26.1,25.7,0.311,0.301
2018-01-01 10:00:00,26.3,74,21.4,0.6,0.6,0.0,1007.7,1006.0,34,2.34,140,9.8,0.88,0.41,606.0,53,26.8,25.7,0.315,0.301
2018-01-01 11:00:00,27.4,70,21.5,0.0,0.0,0.0,1007.4,1005.7,66,1.52,113,6.0,1.09,0.47,655.0,2,27.9,25.8,0.314,0.301
2018-01-01 12:00:00,28.6,66,21.6,0.0,0.0,0.0,1006.8,1005.1,96,0.81,83,5.1,1.33,0.54,732.0,3,29.3,25.9,0.312,0.301
2018-01-01 13:00:00,29.8,63,21.9,0.0,0.0,0.0,1005.9,1004.2,85,1.33,103,7.5,1.56,0.6,799.0,3,30.6,26.2,0.309,0.3
