time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2009-01-01,26.2,20.9,0.7,0.7,7.6,136
2009-01-02,22.9,18.8,6.2,6.2,7.51,115
2009-01-03,18.6,17.0,47.8,47.8,7.9,139
2009-01-04,22.1,16.4,1.5,1.5,5.11,149
2009-01-05,26.2,14.6,0.0,0.0,4.44,101
2009-01-06,29.6,14.3,0.0,0.0,4.1,53
2009-01-07,31.8,17.0,0.0,0.0,3.88,0
2009-01-08,26.6,20.3,0.5,0.5,6.04,164
2009-01-09,24.9,20.3,9.8,9.8,6.16,125
2009-01-10,26.3,20.5,13.8,13.8,4.24,92
2009-01-11,27.6,19.7,10.3,10.3,4.53,288
2009-01-12,29.4,19.5,0.4,0.4,5.01,190
2009-01-13,25.4,19.8,13.7,13.7,3.85,109
2009-01-14,28.9,21.2,2.8,2.8,4.55,274
2009-01-15,26.9,20.5,1.4,1.4,4.64,175
2009-01-16,28.5,19.5,0.0,0.0,3.45,123
2009-01-17,29.2,20.3,6.6,6.6,3.2,100
2009-01-18,30.5,20.9,1.7,1.7,5.23,204
2009-01-19,22.4,18.8,26.9,26.9,8.79,161
2009-01-20,23.5,17.1,0.3,0.3,5.03,151
2009-01-21,26.2,16.3,0.0,0.0,5.46,113
2009-01-22,27.0,16.7,0.0,0.0,6.68,104
2009-01-23,28.0,17.5,0.0,0.0,7.18,94
2009-01-24,29.2,17.5,0.0,0.0,5.89,94
2009-01-25,30.7,18.4,0.3,0.3,4.13,79
2009-01-26,31.7,20.9,3.0,3.0,4.22,102
2009-01-27,30.8,21.7,2.9,2.9,5.32,108
2009-01-28,29.4,22.5,9.2,9.2,5.89,101
2009-01-29,30.4,22.4,2.9,2.9,4.7,17
2009-01-30,30.2,22.7,0.6,0.6,6.61,317
2009-01-31,26.4,21.7,6.5,6.5,7.94,293
2009-02-01,27.0,20.7,9.6,9.6,3.61,199
2009-02-02,29.7,19.5,0.5,0.5,5.53,111
2009-02-03,30.9,21.1,7.6,7.6,3.64,34
2009-02-04,27.2,21.5,11.1,11.1,6.15,184
2009-02-05,27.0,19.1,0.0,0.0,5.16,104
2009-02-06,29.2,18.7,1.7,1.7,5.82,313
2009-02-07,28.5,21.9,0.5,0.5,5.11,165
2009-02-08,28.4,20.8,0.0,0.0,4.96,119
2009-02-09,30.3,19.7,0.0,0.0,4.77,111
2009-02-10,32.1,18.8,0.0,0.0,4.46,87
2009-02-11,29.0,22.6,8.3,8.3,6.0,306
2009-02-12,25.1,19.0,0.5,0.5,5.2,167
2009-02-13,28.4,16.6,0.0,0.0,5.24,104
2009-02-14,29.7,17.7,0.0,0.0,6.59,105
2009-02-15,30.2,18.6,0.0,0.0,5.76,95
2009-02-16,31.0,21.1,0.0,0.0,3.51,85
2009-02-17,31.5,22.0,4.6,4.6,2.83,352
2009-02-18,31.5,22.3,6.3,6.3,2.5,59
2009-02-19,29.6,23.6,11.7,11.7,3.07,60
2009-02-20,31.8,23.3,11.6,11.6,3.62,326
2009-02-21,29.7,23.2,19.6,19.6,2.94,263
2009-02-22,31.8,22.7,0.0,0.0,2.5,70
2009-02-23,27.0,21.8,10.8,10.8,5.4,248
2009-02-24,26.0,19.6,0.0,0.0,5.74,123
2009-02-25,25.3,19.8,0.1,0.1,6.12,103
2009-02-26,27.5,20.6,7.2,7.2,4.71,97
2009-02-27,26.5,21.2,18.9,18.9,7.29,129
2009-02-28,27.9,21.3,0.5,0.5,4.72,119
2009-03-01,29.7,21.5,17.1,17.1,3.64,50
2009-03-02,27.3,22.7,9.5,9.5,3.55,297
2009-03-03,29.2,21.4,0.6,0.6,4.03,140
2009-03-04,31.2,21.1,0.0,0.0,3.98,91
2009-03-05,26.2,22.2,1.5,1.5,9.56,278
2009-03-06,26.5,20.8,1.1,1.1,3.83,187
2009-03-07,27.5,18.3,0.0,0.0,5.63,106
2009-03-08,27.3,21.1,3.2,3.2,4.07,98
2009-03-09,25.3,20.2,0.7,0.7,6.46,110
2009-03-10,27.3,21.1,0.0,0.0,7.53,101
2009-03-11,28.0,21.1,1.2,1.2,5.06,102
2009-03-12,29.1,20.7,4.2,4.2,3.81,308
2009-03-13,28.0,20.5,0.0,0.0,6.33,286
2009-03-14,28.4,18.8,0.0,0.0,4.93,288
2009-03-15,24.4,18.7,1.5,1.5,4.56,229
2009-03-16,24.8,16.3,0.0,0.0,3.73,94
2009-03-17,24.1,15.9,3.2,3.2,5.62,269
2009-03-18,25.8,16.6,0.1,0.1,5.03,117
2009-03-19,27.4,18.9,0.0,0.0,6.07,101
2009-03-20,26.6,19.4,2.3,2.3,4.04,88
2009-03-21,27.6,19.4,9.5,9.5,2.82,108
2009-03-22,29.1,19.1,0.6,0.6,2.94,115
2009-03-23,28.0,20.0,0.7,0.7,4.34,130
2009-03-24,25.8,20.6,0.7,0.7,5.95,126
2009-03-25,27.1,18.4,0.0,0.0,4.57,112
2009-03-26,29.6,18.2,0.0,0.0,3.42,97
2009-03-27,26.6,19.7,2.9,2.9,3.38,32
2009-03-28,28.4,19.5,0.6,0.6,3.4,276
2009-03-29,29.9,18.6,0.0,0.0,2.72,91
