time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2017-01-01,30.7,23.9,3.1,3.1,0.0,5.41,11.2,299,1008.1,24.74,8.0,5.02
2017-01-02,28.6,24.0,11.0,11.0,0.0,5.3,11.0,135,1011.0,21.06,11.0,4.2
2017-01-03,32.1,22.3,1.2,1.2,0.0,4.12,8.9,83,1009.3,26.19,1.0,5.57
2017-01-04,32.5,23.2,30.7,30.7,0.0,5.64,12.4,333,1007.1,22.6,8.0,4.59
2017-01-05,29.3,22.4,17.2,17.2,0.0,4.23,9.2,312,1009.7,15.38,8.0,3.09
2017-01-06,26.3,22.3,1.5,1.5,0.0,6.04,11.3,128,1015.3,17.2,4.0,4.21
2017-01-07,29.5,21.7,0.0,0.0,0.0,4.69,8.3,91,1012.5,19.93,0.0,4.47
2017-01-08,31.2,22.6,6.2,6.2,0.0,2.9,8.1,73,1008.9,21.41,3.0,4.52
2017-01-09,31.2,24.7,1.7,1.7,0.0,6.32,14.8,318,1004.3,21.74,4.0,4.52
2017-01-10,30.0,23.2,27.5,27.5,0.0,6.24,14.1,283,1006.8,16.99,13.0,3.59
2017-01-11,27.4,22.7,1.4,1.4,0.0,6.8,12.3,139,1012.7,21.0,8.0,4.19
2017-01-12,28.6,20.8,0.0,0.0,0.0,5.26,9.8,111,1014.6,30.43,0.0,6.06
2017-01-13,32.8,18.6,0.0,0.0,0.0,3.9,8.3,11,1010.1,31.09,0.0,6.37
2017-01-14,30.4,21.9,0.6,0.6,0.0,7.08,12.9,149,1008.1,23.77,2.0,4.78
2017-01-15,30.4,22.7,0.1,0.1,0.0,6.48,12.3,121,1008.9,25.06,1.0,5.41
2017-01-16,31.9,24.2,2.5,2.5,0.0,4.44,7.6,79,1006.4,17.16,4.0,4.08
2017-01-17,29.3,23.2,0.5,0.5,0.0,7.08,13.1,293,1002.8,22.8,2.0,4.86
2017-01-18,29.5,21.9,0.0,0.0,0.0,6.67,12.2,171,1008.7,26.06,0.0,5.54
2017-01-19,28.3,20.0,0.0,0.0,0.0,6.94,13.0,120,1016.6,30.63,0.0,6.54
2017-01-20,29.0,20.2,0.0,0.0,0.0,6.34,12.2,117,1018.4,31.16,0.0,6.69
2017-01-21,29.8,20.6,0.0,0.0,0.0,7.07,13.0,113,1017.2,29.54,0.0,6.63
2017-01-22,29.2,21.3,0.1,0.1,0.0,6.29,12.1,124,1013.5,25.17,1.0,5.69
2017-01-23,30.6,22.2,1.9,1.9,0.0,6.17,12.1,108,1012.1,25.37,5.0,5.44
