time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,vapour_pressure_deficit,et0_fao_evapotranspiration,shortwave_radiation,weather_code,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
2019-01-01 00:00:00,24.6,85,21.8,0.0,0.0,0.0,1011.7,1010.0,33,4.1,124,7.6,0.47,0.02,0.0,1,26.4,27.6,0.347,0.329
2019-01-01 01:00:00,24.6,87,22.2,0.0,0.0,0.0,1011.0,1009.3,48,4.02,125,7.1,0.42,0.02,0.0,1,26.0,27.5,0.347,0.329
2019-01-01 02:00:00,24.3,90,22.5,0.0,0.0,0.0,1010.7,1009.0,70,3.34,129,6.9,0.31,0.01,0.0,2,25.7,27.4,0.347,0.329
2019-01-01 03:00:00,24.1,92,22.7,0.0,0.0,0.0,1010.8,1009.1,86,2.47,122,5.7,0.24,0.0,0.0,3,25.4,27.3,0.347,0.329
2019-01-01 04:00:00,24.1,92,22.7,0.0,0.0,0.0,1011.0,1009.3,95,2.77,116,4.6,0.24,0.0,0.0,3,25.3,27.1,0.347,0.329
2019-01-01 05:00:00,24.0,92,22.7,0.0,0.0,0.0,1011.6,1009.9,53,2.44,109,4.7,0.23,0.0,0.0,2,25.2,27.0,0.347,0.329
2019-01-01 06:00:00,24.1,92,22.8,0.0,0.0,0.0,1012.2,1010.5,61,2.12,98,4.1,0.23,0.02,10.0,2,25.1,26.8,0.346,0.329
2019-01-01 07:00:00,25.0,88,22.9,0.0,0.0,0.0,1012.9,1011.2,47,2.0,90,4.4,0.38,0.08,134.0,1,25.5,26.7,0.346,0.329
2019-01-01 08:00:00,26.5,80,22.8,0.0,0.0,0.0,1013.2,1011.5,82,1.61,60,4.4,0.68,0.21,305.0,3,26.4,26.7,0.345,0.329
2019-01-01 09:00:00,27.9,75,23.1,0.0,0.0,0.0,1013.4,1011.7,77,1.68,73,4.4,0.94,0.26,355.0,2,27.3,26.7,0.344,0.33
2019-01-01 10:00:00,29.6,68,23.2,0.0,0.0,0.0,1013.1,1011.4,96,1.44,56,4.8,1.31,0.51,697.0,3,29.0,26.7,0.342,0.329
2019-01-01 11:00:00,31.1,61,22.8,0.0,0.0,0.0,1012.8,1011.1,36,1.17,59,4.7,1.74,0.67,894.0,1,30.8,26.9,0.338,0.328
2019-01-01 12:00:00,32.6,54,22.2,0.0,0.0,0.0,1012.3,1010.6,55,1.4,90,4.9,2.24,0.77,1009.0,2,32.4,27.1,0.333,0.328
2019-01-01 13:00:00,33.8,49,21.7,0.0,0.0,0.0,1011.8,1010.1,52,2.05,133,5.5,2.65,0.82,1047.0,2,33.6,27.3,0.329,0.327
2019-01-01 14:00:00,33.8,53,23.0,0.0,0.0,0.0,1011.3,1009.6,42,3.35,163,7.2,2.46,0.79,1008.0,1,34.4,27.6,0.324,0.326
2019-01-01 15:00:00,34.0,53,23.0,0.0,0.0,0.0,1010.3,1008.6,34,3.91,176,8.4,2.52,0.73,903.0,1,34.7,27.9,0.32,0.325
2019-01-01 16:00:00,35.0,48,22.3,0.0,0.0,0.0,1009.4,1007.7,80,2.92,149,8.2,2.94,0.63,752.0,3,34.8,28.2,0.317,0.325
2019-01-01 17:00:00,34.3,46,21.1,0.0,0.0,0.0,1008.9,1007.2,46,5.23,97,9.0,2.91,0.52,544.0,1,34.4,28.5,0.314,0.324
2019-01-01 18:00:00,32.5,53,21.5,0.0,0.0,0.0,1009.0,1007.3,99,5.54,97,10.3,2.31,0.35,323.0,3,33.5,28.7,0.312,0.324
2019-01-01 19:00:00,30.3,61,21.9,0.0,0.0,0.0,1009.8,1008.1,100,5.73,102,9.6,1.69,0.2,126.0,3,32.3,28.8,0.311,0.324
2019-01-01 20:00:00,28.2,71,22.4,0.0,0.0,0.0,1010.8,1009.1,100,5.55,104,9.7,1.11,0.11,7.0,3,31.0,28.9,0.311,0.324
2019-01-01 21:00:00,27.0,76,22.4,0.0,0.0,0.0,1010.7,1009.0,100,3.59,103,9.3,0.85,0.04,0.0,3,30.1,28.8,0.311,0.324
2019-01-01 22:00:00,26.1,81,22.5,0.0,0.0,0.0,1011.3,1009.6,100,2.64,115,5.9,0.65,0.02,0.0,3,29.1,28.8,0.311,0.324
2019-01-01 23:00:00,25.6,83,22.5,0.0,0.0,0.0,1011.5,1009.8,100,2.55,135,4.5,0.55,0.01,0.0,3,28.3,28.7,0.311,0.324
2019-01-02 00:00:00,25.3,85,22.6,0.0,0.0,0.0,1010.9,1009.2,100,2.68,117,4.6,0.48,0.01,0.0,3,27.6,28.6,0.311,0.324
2019-01-02 01:00:00,24.9,88,22.7,0.0,0.0,0.0,1010.2,1008.5,100,1.75,103,4.5,0.39,0.0,0.0,3,27.1,28.5,0.31,0.324
2019-01-02 02:00:00,24.8,88,22.7,0.0,0.0,0.0,1009.5,1007.8,100,1.99,108,3.2,0.36,0.0,0.0,3,26.7,28.3,0.31,0.324
2019-01-02 03:00:00,24.7,89,22.8,0.0,0.0,0.0,1009.0,1007.3,100,2.0,90,3.8,0.34,0.0,0.0,3,26.4,28.2,0.31,0.324
2019-01-02 04:00:00,24.8,89,22.9,0.0,0.0,0.0,1009.4,1007.7,100,1.39,60,3.4,0.34,0.0,0.0,3,26.2,28.1,0.31,0.324
2019-01-02 05:00:00,24.7,91,23.1,0.0,0.0,0.0,1009.9,1008.2,100,1.28,39,2.4,0.28,0.0,0.0,3,26.0,27.9,0.31,0.324
2019-01-02 06:00:00,25.6,85,22.8,0.0,0.0,0.0,1010.5,1008.8,99,1.71,21,2.6,0.51,0.03,5.0,3,25.9,27.8,0.31,0.324
2019-01-02 07:00:00,27.4,71,21.8,0.0,0.0,0.0,1010.9,1009.2,91,2.62,7,4.3,1.05,0.1,88.0,3,26.2,27.6,0.31,0.324
2019-01-02 08:00:00,29.3,60,20.8,0.0,0.0,0.0,1011.2,1009.5,3,2.82,354,5.6,1.62,0.27,333.0,0,27.3,27.5,0.309,0.323
2019-01-02 09:00:00,30.6,58,21.5,0.0,0.0,0.0,1010.2,1008.5,24,3.35,333,6.4,1.82,0.45,573.0,1,28.0,27.5,0.309,0.325
2019-01-02 10:00:00,32.4,54,22.0,0.0,0.0,0.0,1010.0,1008.3,41,3.22,324,7.0,2.23,0.57,718.0,1,29.7,27.5,0.307,0.325
2019-01-02 11:00:00,34.5,49,22.1,0.0,0.0,0.0,1009.6,1007.9,67,3.75,314,7.8,2.8,0.73,887.0,2,31.5,27.6,0.304,0.324
2019-01-02 12:00:00,35.3,47,22.5,0.0,0.0,0.0,1008.8,1007.1,54,4.55,303,9.0,3.0,0.72,833.0,2,32.7,27.8,0.301,0.323
2019-01-02 13:00:00,36.0,49,23.5,0.0,0.0,0.0,1008.1,1006.4,52,4.85,302,9.7,3.04,0.81,961.0,2,33.9,28.0,0.298,0.322
2019-01-02 14:00:00,36.5,46,23.1,0.0,0.0,0.0,1007.2,1005.5,89,4.32,318,10.1,3.29,0.81,944.0,3,34.9,28.3,0.295,0.322
2019-01-02 15:00:00,36.0,47,22.8,0.0,0.0,0.0,1007.1,1005.4,99,4.2,295,9.9,3.16,0.56,582.0,3,34.8,28.6,0.293,0.321
2019-01-02 16:00:00,35.6,49,23.4,0.2,0.2,0.0,1007.0,1005.3,100,3.05,293,9.5,2.94,0.48,514.0,51,34.7,28.8,0.292,0.32
2019-01-02 17:00:00,34.3,54,23.6,0.1,0.1,0.0,1007.0,1005.3,100,3.3,268,8.1,2.49,0.4,427.0,51,34.5,29.0,0.292,0.32
2019-01-02 18:00:00,33.1,61,24.5,0.0,0.0,0.0,1006.9,1005.2,100,0.95,252,6.3,1.98,0.18,204.0,3,33.6,29.2,0.292,0.32
2019-01-02 19:00:00,31.4,72,25.9,0.0,0.0,0.0,1007.0,1005.3,99,1.79,27,2.7,1.27,0.09,79.0,3,32.7,29.3,0.291,0.32
2019-01-02 20:00:00,30.1,76,25.4,0.0,0.0,0.0,1007.5,1005.8,100,1.89,32,3.8,1.02,0.04,7.0,3,31.7,29.4,0.291,0.32
2019-01-02 21:00:00,30.8,73,25.5,0.0,0.0,0.0,1006.1,1004.4,100,2.18,286,3.0,1.19,0.03,0.0,3,32.1,29.6,0.283,0.313
2019-01-02 22:00:00,31.9,63,24.0,0.0,0.0,0.0,1006.3,1004.6,100,1.14,345,2.4,1.73,0.02,0.0,3,31.2,29.7,0.283,0.313
2019-01-02 23:00:00,30.2,72,24.7,0.0,0.0,0.0,1006.3,1004.6,100,2.13,41,3.2,1.19,0.03,0.0,3,30.6,29.6,0.283,0.313
2019-01-03 00:00:00,29.8,73,24.4,0.0,0.0,0.0,1005.8,1004.1,99,3.14,9,5.2,1.14,0.05,0.0,3,30.0,29.6,0.283,0.313
2019-01-03 01:00:00,28.8,77,24.4,0.0,0.0,0.0,1004.9,1003.2,99,1.4,360,5.1,0.9,0.01,0.0,3,29.6,29.5,0.283,0.313
2019-01-03 02:00:00,28.4,78,24.2,0.0,0.0,0.0,1004.8,1003.1,100,3.54,278,7.8,0.85,0.04,0.0,3,29.1,29.5,0.283,0.313
2019-01-03 03:00:00,27.5,82,24.1,0.1,0.1,0.0,1004.2,1002.5,99,2.65,281,6.2,0.68,0.02,0.0,51,28.8,29.4,0.283,0.313
2019-01-03 04:00:00,27.3,84,24.4,0.0,0.0,0.0,1004.4,1002.7,99,3.13,297,5.0,0.57,0.02,0.0,3,28.4,29.3,0.283,0.313
2019-01-03 05:00:00,27.1,86,24.5,0.0,0.0,0.0,1005.2,1003.5,100,2.79,291,5.4,0.51,0.01,0.0,3,28.1,29.1,0.283,0.313
2019-01-03 06:00:00,27.0,87,24.6,0.0,0.0,0.0,1006.2,1004.5,98,2.42,300,4.6,0.47,0.03,5.0,3,27.9,29.0,0.283,0.313
2019-01-03 07:00:00,27.9,83,24.7,0.0,0.0,0.0,1006.6,1004.9,100,3.19,311,5.8,0.65,0.1,109.0,3,28.2,28.9,0.283,0.313
2019-01-03 08:00:00,29.7,75,24.7,0.0,0.0,0.0,1006.5,1004.8,100,3.96,313,7.6,1.05,0.24,295.0,3,29.0,28.9,0.283,0.313
2019-01-03 09:00:00,26.7,84,23.7,0.0,0.0,0.0,1007.4,1005.7,100,4.21,162,9.3,0.57,0.3,463.0,3,26.4,28.6,0.287,0.316
2019-01-03 10:00:00,26.3,86,23.7,0.7,0.7,0.0,1007.6,1005.9,100,5.02,175,11.0,0.49,0.22,316.0,53,26.9,28.4,0.293,0.316
2019-01-03 11:00:00,26.2,84,23.3,0.7,0.7,0.0,1007.6,1005.9,100,2.94,190,9.9,0.54,0.23,315.0,53,27.2,28.3,0.299,0.316
2019-01-03 12:00:00,28.5,72,23.1,0.1,0.1,0.0,1007.0,1005.3,100,2.76,226,11.8,1.07,0.51,706.0,51,28.7,28.3,0.299,0.316
2019-01-03 13:00:00,28.6,73,23.2,0.6,0.6,0.0,1006.8,1005.1,100,2.26,283,11.4,1.06,0.4,535.0,53,29.4,28.3,0.304,0.316
2019-01-03 14:00:00,29.4,70,23.4,0.3,0.3,0.0,1006.4,1004.7,100,4.44,306,11.4,1.21,0.41,527.0,51,30.1,28.3,0.305,0.315
2019-01-03 15:00:00,28.3,80,24.4,1.4,1.4,0.0,1006.6,1004.9,100,4.01,266,8.7,0.78,0.26,342.0,61,29.9,28.3,0.317,0.315
